2025-05-01 13:04:11,778 - INFO - Monitoring thread started
2025-05-01 13:04:11,779 - INFO - Proc-Wolf system tray monitor starting
2025-05-01 13:04:11,829 - INFO - proc-wolf v1.0.0 started. Watching processes...
2025-05-01 13:04:11,984 - WARNING - Suspicious process: System Idle Process (PID: 0), Threat: MEDIUM, Action: MONITOR, Warning #1
2025-05-01 13:04:12,297 - WARNING - Suspicious process:  (PID: 188), Threat: MEDIUM, Action: MONITOR, Warning #1
2025-05-01 13:04:12,783 - WARNING - Suspicious process: vivaldi.exe (PID: 392), Threat: LOW, Action: MONITOR, Warning #1
2025-05-01 13:04:14,635 - WARNING - Suspicious process: OneDrive.exe (PID: 1440), Threat: MEDIUM, Action: MONITOR, Warning #1
2025-05-01 13:04:15,614 - WARNING - Suspicious process: DiscoverySrv.exe (PID: 1816), Threat: MEDIUM, Action: MONITOR, Warning #1
2025-05-01 13:04:15,773 - WARNING - Suspicious process: WUDFHost.exe (PID: 1860), Threat: LOW, Action: MONITOR, Warning #1
2025-05-01 13:04:17,190 - WARNING - Suspicious process: WUDFHost.exe (PID: 2644), Threat: LOW, Action: WARN, Warning #2
2025-05-01 13:04:17,550 - WARNING - Suspicious process: ETDService.exe (PID: 2856), Threat: MEDIUM, Action: MONITOR, Warning #1
2025-05-01 13:04:18,012 - WARNING - Suspicious process: msedgewebview2.exe (PID: 2892), Threat: LOW, Action: MONITOR, Warning #1
2025-05-01 13:04:18,758 - WARNING - Suspicious process: MemCompression (PID: 3044), Threat: LOW, Action: MONITOR, Warning #1
2025-05-01 13:04:19,421 - WARNING - Suspicious process: FMService64.exe (PID: 3224), Threat: MEDIUM, Action: MONITOR, Warning #1
2025-05-01 13:04:21,344 - WARNING - Suspicious process: Code.exe (PID: 3636), Threat: LOW, Action: MONITOR, Warning #1
2025-05-01 13:04:21,740 - WARNING - Suspicious process: MpDefenderCoreService.exe (PID: 3672), Threat: LOW, Action: MONITOR, Warning #1
2025-05-01 13:04:22,960 - WARNING - Suspicious process: WmiPrvSE.exe (PID: 3932), Threat: LOW, Action: MONITOR, Warning #1
2025-05-01 13:04:23,115 - WARNING - Suspicious process: openvpnserv2.exe (PID: 3944), Threat: MEDIUM, Action: MONITOR, Warning #1
2025-05-01 13:04:23,312 - WARNING - Suspicious process: Everything.exe (PID: 3952), Threat: MEDIUM, Action: MONITOR, Warning #1
2025-05-01 13:04:23,471 - WARNING - Suspicious process: bdvpnService.exe (PID: 3968), Threat: MEDIUM, Action: MONITOR, Warning #1
2025-05-01 13:04:23,622 - WARNING - Suspicious process: openvpnserv.exe (PID: 4000), Threat: MEDIUM, Action: MONITOR, Warning #1
2025-05-01 13:04:23,784 - WARNING - Suspicious process: FileSyncHelper.exe (PID: 4012), Threat: LOW, Action: MONITOR, Warning #1
2025-05-01 13:04:24,272 - WARNING - Suspicious process: ZeroConfigService.exe (PID: 4108), Threat: MEDIUM, Action: MONITOR, Warning #1
2025-05-01 13:04:24,906 - WARNING - Suspicious process: ibmpmsvc.exe (PID: 4140), Threat: LOW, Action: MONITOR, Warning #1
2025-05-01 13:04:25,255 - WARNING - Suspicious process: ProductAgentService.exe (PID: 4176), Threat: MEDIUM, Action: MONITOR, Warning #1
2025-05-01 13:04:25,411 - WARNING - Suspicious process: EasyResume.exe (PID: 4200), Threat: LOW, Action: MONITOR, Warning #1
2025-05-01 13:04:25,578 - WARNING - Suspicious process: vmcompute.exe (PID: 4208), Threat: LOW, Action: MONITOR, Warning #1
2025-05-01 13:04:25,739 - WARNING - Suspicious process: WMIRegistrationService.exe (PID: 4216), Threat: LOW, Action: MONITOR, Warning #1
2025-05-01 13:04:25,899 - WARNING - Suspicious process: RtkAudUService64.exe (PID: 4224), Threat: LOW, Action: MONITOR, Warning #1
2025-05-01 13:04:26,218 - WARNING - Suspicious process: wslservice.exe (PID: 4272), Threat: LOW, Action: MONITOR, Warning #1
2025-05-01 13:04:26,975 - WARNING - Suspicious process: vivaldi.exe (PID: 4304), Threat: LOW, Action: WARN, Warning #2
2025-05-01 13:04:27,191 - WARNING - Suspicious process: LMS.exe (PID: 4680), Threat: LOW, Action: MONITOR, Warning #1
2025-05-01 13:04:28,011 - WARNING - Suspicious process: vivaldi.exe (PID: 5104), Threat: MEDIUM, Action: SOFT_KILL, Warning #3
2025-05-01 13:04:28,011 - WARNING - Attempting soft kill of vivaldi.exe (PID: 5104)
2025-05-01 13:04:28,041 - INFO - Successfully soft-killed vivaldi.exe (PID: 5104)
2025-05-01 13:04:34,216 - WARNING - Suspicious process: Code.exe (PID: 6260), Threat: LOW, Action: WARN, Warning #2
2025-05-01 13:04:34,375 - WARNING - Suspicious process: unsecapp.exe (PID: 6792), Threat: LOW, Action: MONITOR, Warning #1
2025-05-01 13:04:35,762 - WARNING - Suspicious process: Code.exe (PID: 7244), Threat: LOW, Action: WARN, Warning #3
2025-05-01 13:04:35,979 - WARNING - Suspicious process: MicrosoftEdgeUpdate.exe (PID: 7340), Threat: LOW, Action: MONITOR, Warning #1
2025-05-01 13:04:36,782 - WARNING - Suspicious process: Code.exe (PID: 7744), Threat: LOW, Action: WARN, Warning #4
2025-05-01 13:04:37,317 - WARNING - Suspicious process: ShellHost.exe (PID: 7916), Threat: LOW, Action: MONITOR, Warning #1
2025-05-01 13:04:38,944 - WARNING - Suspicious process: Code.exe (PID: 8280), Threat: LOW, Action: WARN, Warning #5
2025-05-01 13:04:41,084 - WARNING - Suspicious process: Dropbox.exe (PID: 8324), Threat: LOW, Action: MONITOR, Warning #1
2025-05-01 13:04:43,459 - WARNING - Suspicious process: ProtonVPNService.exe (PID: 8888), Threat: MEDIUM, Action: MONITOR, Warning #1
2025-05-01 13:04:43,778 - WARNING - Suspicious process: RtkAudUService64.exe (PID: 8924), Threat: LOW, Action: WARN, Warning #2
2025-05-01 13:04:44,319 - WARNING - Suspicious process: SearchIndexer.exe (PID: 8976), Threat: LOW, Action: MONITOR, Warning #1
2025-05-01 13:04:45,832 - WARNING - Suspicious process: UserOOBEBroker.exe (PID: 9404), Threat: LOW, Action: MONITOR, Warning #1
2025-05-01 13:04:46,376 - WARNING - Suspicious process: msedgewebview2.exe (PID: 10264), Threat: LOW, Action: WARN, Warning #2
2025-05-01 13:04:46,986 - WARNING - Suspicious process: msedgewebview2.exe (PID: 11080), Threat: LOW, Action: WARN, Warning #3
2025-05-01 13:04:47,754 - WARNING - Suspicious process: TextInputHost.exe (PID: 11164), Threat: LOW, Action: MONITOR, Warning #1
2025-05-01 13:04:50,140 - WARNING - Suspicious process: Code.exe (PID: 11284), Threat: LOW, Action: WARN, Warning #6
2025-05-01 13:04:52,213 - WARNING - Suspicious process: Code.exe (PID: 12304), Threat: LOW, Action: WARN, Warning #7
2025-05-01 13:04:52,923 - WARNING - Suspicious process: vmmemCmZygote (PID: 12576), Threat: LOW, Action: MONITOR, Warning #1
2025-05-01 13:04:53,638 - WARNING - Suspicious process: SearchHost.exe (PID: 12584), Threat: LOW, Action: MONITOR, Warning #1
2025-05-01 13:04:54,313 - WARNING - Suspicious process: msedgewebview2.exe (PID: 12756), Threat: LOW, Action: WARN, Warning #4
2025-05-01 13:04:56,619 - WARNING - Suspicious process: Code.exe (PID: 14512), Threat: LOW, Action: WARN, Warning #8
2025-05-01 13:04:58,304 - WARNING - Suspicious process: Code.exe (PID: 14984), Threat: LOW, Action: WARN, Warning #9
2025-05-01 13:04:58,511 - WARNING - Suspicious process: bdredline.exe (PID: 15012), Threat: MEDIUM, Action: MONITOR, Warning #1
2025-05-01 13:04:59,858 - WARNING - Suspicious process: Code.exe (PID: 15240), Threat: LOW, Action: WARN, Warning #10
2025-05-01 13:05:00,160 - WARNING - Suspicious process: msedgewebview2.exe (PID: 15356), Threat: LOW, Action: WARN, Warning #5
2025-05-01 13:05:00,906 - WARNING - Suspicious process: RtkAudUService64.exe (PID: 15980), Threat: LOW, Action: WARN, Warning #3
2025-05-01 13:05:01,729 - WARNING - Suspicious process: Code.exe (PID: 16184), Threat: LOW, Action: WARN, Warning #11
2025-05-01 13:05:02,480 - WARNING - Suspicious process: prevhost.exe (PID: 16240), Threat: LOW, Action: MONITOR, Warning #1
2025-05-01 13:05:02,996 - WARNING - Suspicious process: TranslucentTB.exe (PID: 16724), Threat: MEDIUM, Action: MONITOR, Warning #1
2025-05-01 13:05:03,525 - WARNING - Suspicious process: StartMenuExperienceHost.exe (PID: 17220), Threat: MEDIUM, Action: MONITOR, Warning #1
2025-05-01 13:05:04,713 - WARNING - Suspicious process: Code.exe (PID: 17580), Threat: LOW, Action: WARN, Warning #12
2025-05-01 13:05:05,560 - WARNING - Suspicious process: PowerMgr.exe (PID: 17792), Threat: LOW, Action: MONITOR, Warning #1
2025-05-01 13:05:05,939 - WARNING - Suspicious process: msedgewebview2.exe (PID: 18068), Threat: MEDIUM, Action: SOFT_KILL, Warning #6
2025-05-01 13:05:05,939 - WARNING - Attempting soft kill of msedgewebview2.exe (PID: 18068)
2025-05-01 13:05:05,958 - INFO - Successfully soft-killed msedgewebview2.exe (PID: 18068)
2025-05-01 13:05:07,389 - WARNING - Suspicious process: ApplicationFrameHost.exe (PID: 18572), Threat: LOW, Action: MONITOR, Warning #1
2025-05-01 13:05:07,873 - WARNING - Suspicious process: smartscreen.exe (PID: 19384), Threat: LOW, Action: MONITOR, Warning #1
2025-05-01 13:05:13,195 - WARNING - Suspicious process: System Idle Process (PID: 0), Threat: MEDIUM, Action: WARN, Warning #2
2025-05-01 13:05:13,521 - WARNING - Suspicious process:  (PID: 188), Threat: MEDIUM, Action: WARN, Warning #2
2025-05-01 13:05:14,009 - WARNING - Suspicious process: vivaldi.exe (PID: 644), Threat: MEDIUM, Action: SOFT_KILL, Warning #4
2025-05-01 13:05:14,009 - WARNING - Attempting soft kill of vivaldi.exe (PID: 644)
2025-05-01 13:05:14,022 - INFO - Successfully soft-killed vivaldi.exe (PID: 644)
2025-05-01 13:05:15,710 - WARNING - Suspicious process: OneDrive.exe (PID: 1440), Threat: MEDIUM, Action: WARN, Warning #2
2025-05-01 13:05:16,673 - WARNING - Suspicious process: DiscoverySrv.exe (PID: 1816), Threat: MEDIUM, Action: WARN, Warning #2
2025-05-01 13:05:16,826 - WARNING - Suspicious process: WUDFHost.exe (PID: 1860), Threat: LOW, Action: WARN, Warning #3
2025-05-01 13:05:18,255 - WARNING - Suspicious process: WUDFHost.exe (PID: 2644), Threat: LOW, Action: WARN, Warning #4
2025-05-01 13:05:18,583 - WARNING - Suspicious process: ETDService.exe (PID: 2856), Threat: MEDIUM, Action: WARN, Warning #2
2025-05-01 13:05:19,019 - WARNING - Suspicious process: msedgewebview2.exe (PID: 2892), Threat: LOW, Action: WARN, Warning #7
2025-05-01 13:05:19,759 - WARNING - Suspicious process: MemCompression (PID: 3044), Threat: LOW, Action: WARN, Warning #2
2025-05-01 13:05:20,372 - WARNING - Suspicious process: FMService64.exe (PID: 3224), Threat: MEDIUM, Action: WARN, Warning #2
2025-05-01 13:05:22,238 - WARNING - Suspicious process: Code.exe (PID: 3636), Threat: LOW, Action: WARN, Warning #13
2025-05-01 13:05:22,548 - WARNING - Suspicious process: MpDefenderCoreService.exe (PID: 3672), Threat: LOW, Action: WARN, Warning #2
2025-05-01 13:05:23,658 - WARNING - Suspicious process: WmiPrvSE.exe (PID: 3932), Threat: LOW, Action: WARN, Warning #2
2025-05-01 13:05:23,808 - WARNING - Suspicious process: openvpnserv2.exe (PID: 3944), Threat: MEDIUM, Action: WARN, Warning #2
2025-05-01 13:05:23,976 - WARNING - Suspicious process: Everything.exe (PID: 3952), Threat: MEDIUM, Action: WARN, Warning #2
2025-05-01 13:05:24,127 - WARNING - Suspicious process: bdvpnService.exe (PID: 3968), Threat: MEDIUM, Action: WARN, Warning #2
2025-05-01 13:05:24,283 - WARNING - Suspicious process: openvpnserv.exe (PID: 4000), Threat: MEDIUM, Action: WARN, Warning #2
2025-05-01 13:05:24,461 - WARNING - Suspicious process: FileSyncHelper.exe (PID: 4012), Threat: LOW, Action: WARN, Warning #2
2025-05-01 13:05:24,950 - WARNING - Suspicious process: ZeroConfigService.exe (PID: 4108), Threat: MEDIUM, Action: WARN, Warning #2
2025-05-01 13:05:25,614 - WARNING - Suspicious process: ibmpmsvc.exe (PID: 4140), Threat: LOW, Action: WARN, Warning #2
2025-05-01 13:05:25,941 - WARNING - Suspicious process: ProductAgentService.exe (PID: 4176), Threat: MEDIUM, Action: WARN, Warning #2
2025-05-01 13:05:26,100 - WARNING - Suspicious process: EasyResume.exe (PID: 4200), Threat: LOW, Action: WARN, Warning #2
2025-05-01 13:05:26,282 - WARNING - Suspicious process: vmcompute.exe (PID: 4208), Threat: LOW, Action: WARN, Warning #2
2025-05-01 13:05:26,435 - WARNING - Suspicious process: WMIRegistrationService.exe (PID: 4216), Threat: LOW, Action: WARN, Warning #2
2025-05-01 13:05:26,597 - WARNING - Suspicious process: RtkAudUService64.exe (PID: 4224), Threat: LOW, Action: WARN, Warning #4
2025-05-01 13:05:26,937 - WARNING - Suspicious process: wslservice.exe (PID: 4272), Threat: LOW, Action: WARN, Warning #2
2025-05-01 13:05:27,697 - WARNING - Suspicious process: vivaldi.exe (PID: 4316), Threat: LOW, Action: WARN, Warning #5
2025-05-01 13:05:27,863 - WARNING - Suspicious process: LMS.exe (PID: 4680), Threat: LOW, Action: WARN, Warning #2
2025-05-01 13:05:30,800 - WARNING - Suspicious process: WmiPrvSE.exe (PID: 5536), Threat: LOW, Action: WARN, Warning #3
2025-05-01 13:05:30,958 - WARNING - Suspicious process: SearchProtocolHost.exe (PID: 6192), Threat: LOW, Action: MONITOR, Warning #1
2025-05-01 13:05:31,993 - WARNING - Suspicious process: Code.exe (PID: 6260), Threat: LOW, Action: WARN, Warning #14
2025-05-01 13:05:32,147 - WARNING - Suspicious process: unsecapp.exe (PID: 6792), Threat: LOW, Action: WARN, Warning #2
2025-05-01 13:05:33,462 - WARNING - Suspicious process: Code.exe (PID: 7244), Threat: LOW, Action: WARN, Warning #15
